"id","state","year","count","rate"
"40","Oklahoma",2014,9868,228.1
"40","Oklahoma",2015,10310,234
"41","Oregon",1999,7263,205.7
"41","Oregon",2000,7094,198.1
"41","Oregon",2001,7075,193.2
"41","Oregon",2002,7262,194.2
"41","Oregon",2003,7049,184.4
"41","Oregon",2004,6725,172.4
"41","Oregon",2005,6791,169.7
"41","Oregon",2006,6620,160.9
"41","Oregon",2007,6655,157.6
"41","Oregon",2008,6519,150.8
"41","Oregon",2009,6262,141.2
"41","Oregon",2010,6198,137.9
"41","Oregon",2011,6255,135.3
"41","Oregon",2012,6180,130.3
"41","Oregon",2013,6523,135.1
"41","Oregon",2014,6524,132.1
"41","Oregon",2015,6859,136.1
"42","Pennsylvania",1999,41707,281.7
"42","Pennsylvania",2000,40708,271.9
"42","Pennsylvania",2001,39438,261.1
"42","Pennsylvania",2002,38852,254.7
"42","Pennsylvania",2003,38075,246.2
"42","Pennsylvania",2004,36434,233.8
"42","Pennsylvania",2005,36207,229.3
"42","Pennsylvania",2006,33744,210.4
"42","Pennsylvania",2007,32862,201.3
"42","Pennsylvania",2008,33308,201.8
"42","Pennsylvania",2009,32297,193.8
"42","Pennsylvania",2010,31556,187
"42","Pennsylvania",2011,31934,185.9
"42","Pennsylvania",2012,30952,177.7
"42","Pennsylvania",2013,31629,179
"42","Pennsylvania",2014,31353,175.8
"42","Pennsylvania",2015,32042,177.8
"44","Rhode Island",1999,3008,244.1
"44","Rhode Island",2000,3115,249.5
"44","Rhode Island",2001,3076,244.3
"44","Rhode Island",2002,3109,243.6
"44","Rhode Island",2003,3011,231.9
"44","Rhode Island",2004,2969,225.9
"44","Rhode Island",2005,3005,226.9
"44","Rhode Island",2006,2718,201.5
"44","Rhode Island",2007,2751,203
"44","Rhode Island",2008,2657,193.6
"44","Rhode Island",2009,2411,173.8
"44","Rhode Island",2010,2322,167.1
"44","Rhode Island",2011,2390,167.7
"44","Rhode Island",2012,2360,165.2
"44","Rhode Island",2013,2364,163.4
"44","Rhode Island",2014,2341,160.8
"44","Rhode Island",2015,2371,160.4
"45","South Carolina",1999,9981,273.4
"45","South Carolina",2000,9893,265.8
"45","South Carolina",2001,9471,248.6
"45","South Carolina",2002,9659,249.4
"45","South Carolina",2003,9510,240.1
"45","South Carolina",2004,9182,225.6
"45","South Carolina",2005,9359,223.9
"45","South Carolina",2006,9030,206.8
"45","South Carolina",2007,8992,199.9
"45","South Carolina",2008,8996,193.4
"45","South Carolina",2009,9068,189.5
"45","South Carolina",2010,9295,189.9
"45","South Carolina",2011,9295,184.5
"45","South Carolina",2012,9364,180.2
"45","South Carolina",2013,9648,180
"45","South Carolina",2014,9964,181.1
"45","South Carolina",2015,10092,177.8
"46","South Dakota",1999,2024,228.6
"46","South Dakota",2000,2105,234.5
"46","South Dakota",2001,1985,219.9
"46","South Dakota",2002,1937,212.1
"46","South Dakota",2003,1943,210.2
"46","South Dakota",2004,1783,189.2
"46","South Dakota",2005,1776,186.3
"46","South Dakota",2006,1757,180.6
"46","South Dakota",2007,1633,164.9
"46","South Dakota",2008,1681,167.4
"46","South Dakota",2009,1778,173.3
"46","South Dakota",2010,1616,155.2
"46","South Dakota",2011,1625,154
"46","South Dakota",2012,1668,155.4
"46","South Dakota",2013,1630,150.1
"46","South Dakota",2014,1704,154.6
"46","South Dakota",2015,1711,150.9
"47","Tennessee",1999,16280,299
